Participant,Condition,Time,LDA_Errors,SVM_Errors
11,Joystick,-6.0,7,7
11,Joystick,-5.875,6,6
11,Joystick,-5.75,5,6
11,Joystick,-5.625,4,7
11,Joystick,-5.5,1,7
11,Joystick,-5.375,3,5
11,Joystick,-5.25,4,5
11,Joystick,-5.125,5,5
11,Joystick,-5.0,6,5
11,Joystick,-4.875,7,6
11,Joystick,-4.75,8,6
11,Joystick,-4.625,8,7
11,Joystick,-4.5,8,5
11,Joystick,-4.375,9,5
11,Joystick,-4.25,11,6
11,Joystick,-4.125,12,6
11,Joystick,-4.0,10,6
11,Joystick,-3.875,10,7
11,Joystick,-3.75,8,6
11,Joystick,-3.625,8,7
11,Joystick,-3.5,7,7
11,Joystick,-3.375,6,7
11,Joystick,-3.25,6,7
11,Joystick,-3.125,9,9
11,Joystick,-3.0,9,11
11,Joystick,-2.875,10,10
11,Joystick,-2.75,11,10
11,Joystick,-2.625,12,9
11,Joystick,-2.5,13,10
11,Joystick,-2.375,23,29
11,Joystick,-2.25,22,28
11,Joystick,-2.125,23,27
11,Joystick,-2.0,20,26
11,Joystick,-1.875,18,23
11,Joystick,-1.75,16,20
11,Joystick,-1.625,14,18
11,Joystick,-1.5,13,15
11,Joystick,-1.375,13,12
11,Joystick,-1.25,12,12
11,Joystick,-1.125,13,13
11,Joystick,-1.0,11,11
11,Joystick,-0.875,10,11
11,Joystick,-0.75,10,12
11,Joystick,-0.625,11,11
11,Joystick,-0.5,9,9
11,Joystick,-0.375,8,10
11,Joystick,-0.25,8,8
11,Joystick,-0.125,10,8
11,Joystick,0.0,12,7
