Participant,Condition,Time,LDA_Errors,SVM_Errors
11,Leaning,-6.0,6,6
11,Leaning,-5.875,5,5
11,Leaning,-5.75,5,6
11,Leaning,-5.625,7,6
11,Leaning,-5.5,7,7
11,Leaning,-5.375,8,7
11,Leaning,-5.25,8,7
11,Leaning,-5.125,8,8
11,Leaning,-5.0,8,8
11,Leaning,-4.875,9,5
11,Leaning,-4.75,8,7
11,Leaning,-4.625,9,7
11,Leaning,-4.5,9,7
11,Leaning,-4.375,8,8
11,Leaning,-4.25,9,9
11,Leaning,-4.125,10,10
11,Leaning,-4.0,10,8
11,Leaning,-3.875,10,9
11,Leaning,-3.75,9,9
11,Leaning,-3.625,9,8
11,Leaning,-3.5,9,14
11,Leaning,-3.375,12,15
11,Leaning,-3.25,12,14
11,Leaning,-3.125,13,10
11,Leaning,-3.0,16,14
11,Leaning,-2.875,16,14
11,Leaning,-2.75,17,16
11,Leaning,-2.625,19,16
11,Leaning,-2.5,16,16
11,Leaning,-2.375,19,25
11,Leaning,-2.25,19,26
11,Leaning,-2.125,16,24
11,Leaning,-2.0,21,21
11,Leaning,-1.875,20,20
11,Leaning,-1.75,19,18
11,Leaning,-1.625,19,18
11,Leaning,-1.5,18,20
11,Leaning,-1.375,19,19
11,Leaning,-1.25,18,18
11,Leaning,-1.125,17,17
11,Leaning,-1.0,19,19
11,Leaning,-0.875,20,21
11,Leaning,-0.75,20,23
11,Leaning,-0.625,21,22
11,Leaning,-0.5,20,21
11,Leaning,-0.375,19,20
11,Leaning,-0.25,20,21
11,Leaning,-0.125,21,17
11,Leaning,0.0,24,20
