Participant,Condition,Time,LDA_Errors,SVM_Errors
9,Joystick,-6.0,7,3
9,Joystick,-5.875,7,2
9,Joystick,-5.75,6,4
9,Joystick,-5.625,5,4
9,Joystick,-5.5,5,4
9,Joystick,-5.375,5,5
9,Joystick,-5.25,5,5
9,Joystick,-5.125,5,6
9,Joystick,-5.0,8,6
9,Joystick,-4.875,10,5
9,Joystick,-4.75,11,8
9,Joystick,-4.625,11,10
9,Joystick,-4.5,10,9
9,Joystick,-4.375,9,9
9,Joystick,-4.25,9,12
9,Joystick,-4.125,8,12
9,Joystick,-4.0,7,13
9,Joystick,-3.875,6,13
9,Joystick,-3.75,6,12
9,Joystick,-3.625,7,12
9,Joystick,-3.5,7,11
9,Joystick,-3.375,8,12
9,Joystick,-3.25,9,12
9,Joystick,-3.125,7,9
9,Joystick,-3.0,8,8
9,Joystick,-2.875,7,9
9,Joystick,-2.75,7,11
9,Joystick,-2.625,10,11
9,Joystick,-2.5,13,13
9,Joystick,-2.375,24,26
9,Joystick,-2.25,20,24
9,Joystick,-2.125,20,23
9,Joystick,-2.0,16,19
9,Joystick,-1.875,16,18
9,Joystick,-1.75,14,17
9,Joystick,-1.625,14,17
9,Joystick,-1.5,13,17
9,Joystick,-1.375,13,16
9,Joystick,-1.25,11,14
9,Joystick,-1.125,12,13
9,Joystick,-1.0,11,12
9,Joystick,-0.875,11,11
9,Joystick,-0.75,13,10
9,Joystick,-0.625,12,11
9,Joystick,-0.5,12,10
9,Joystick,-0.375,11,11
9,Joystick,-0.25,9,14
9,Joystick,-0.125,11,14
9,Joystick,0.0,20,16
