Participant,Condition,Time,LDA_Errors,SVM_Errors
12,Omnideck,-6.0,15,8
12,Omnideck,-5.875,13,8
12,Omnideck,-5.75,13,10
12,Omnideck,-5.625,14,11
12,Omnideck,-5.5,14,14
12,Omnideck,-5.375,15,15
12,Omnideck,-5.25,16,15
12,Omnideck,-5.125,15,15
12,Omnideck,-5.0,15,13
12,Omnideck,-4.875,16,14
12,Omnideck,-4.75,15,13
12,Omnideck,-4.625,16,12
12,Omnideck,-4.5,15,13
12,Omnideck,-4.375,14,16
12,Omnideck,-4.25,13,15
12,Omnideck,-4.125,12,14
12,Omnideck,-4.0,11,14
12,Omnideck,-3.875,11,14
12,Omnideck,-3.75,11,14
12,Omnideck,-3.625,11,15
12,Omnideck,-3.5,13,17
12,Omnideck,-3.375,14,17
12,Omnideck,-3.25,15,17
12,Omnideck,-3.125,15,17
12,Omnideck,-3.0,13,14
12,Omnideck,-2.875,14,13
12,Omnideck,-2.75,13,11
12,Omnideck,-2.625,11,12
12,Omnideck,-2.5,11,12
12,Omnideck,-2.375,27,26
12,Omnideck,-2.25,26,27
12,Omnideck,-2.125,26,26
12,Omnideck,-2.0,26,26
12,Omnideck,-1.875,28,24
12,Omnideck,-1.75,29,24
12,Omnideck,-1.625,27,23
12,Omnideck,-1.5,28,26
12,Omnideck,-1.375,27,25
12,Omnideck,-1.25,24,26
12,Omnideck,-1.125,23,26
12,Omnideck,-1.0,24,26
12,Omnideck,-0.875,24,25
12,Omnideck,-0.75,21,22
12,Omnideck,-0.625,20,23
12,Omnideck,-0.5,23,21
12,Omnideck,-0.375,24,19
12,Omnideck,-0.25,23,19
12,Omnideck,-0.125,23,18
12,Omnideck,0.0,25,16
