Participant,Condition,Time,LDA_Errors,SVM_Errors
2,Leaning,-6.0,8,5
2,Leaning,-5.875,8,6
2,Leaning,-5.75,9,6
2,Leaning,-5.625,10,7
2,Leaning,-5.5,12,10
2,Leaning,-5.375,12,11
2,Leaning,-5.25,12,13
2,Leaning,-5.125,12,13
2,Leaning,-5.0,10,11
2,Leaning,-4.875,10,12
2,Leaning,-4.75,8,11
2,Leaning,-4.625,7,10
2,Leaning,-4.5,11,10
2,Leaning,-4.375,11,12
2,Leaning,-4.25,11,11
2,Leaning,-4.125,12,9
2,Leaning,-4.0,11,10
2,Leaning,-3.875,12,10
2,Leaning,-3.75,12,12
2,Leaning,-3.625,13,12
2,Leaning,-3.5,18,12
2,Leaning,-3.375,17,13
2,Leaning,-3.25,15,15
2,Leaning,-3.125,16,16
2,Leaning,-3.0,15,14
2,Leaning,-2.875,13,16
2,Leaning,-2.75,12,18
2,Leaning,-2.625,10,18
2,Leaning,-2.5,12,18
2,Leaning,-2.375,25,22
2,Leaning,-2.25,25,24
2,Leaning,-2.125,23,24
2,Leaning,-2.0,24,21
2,Leaning,-1.875,25,19
2,Leaning,-1.75,24,20
2,Leaning,-1.625,23,18
2,Leaning,-1.5,19,19
2,Leaning,-1.375,20,20
2,Leaning,-1.25,21,20
2,Leaning,-1.125,20,22
2,Leaning,-1.0,22,23
2,Leaning,-0.875,23,22
2,Leaning,-0.75,22,19
2,Leaning,-0.625,22,18
2,Leaning,-0.5,19,16
2,Leaning,-0.375,18,15
2,Leaning,-0.25,19,15
2,Leaning,-0.125,18,16
2,Leaning,0.0,18,18
