Participant,Condition,Time,LDA_Errors,SVM_Errors
2,Joystick,-6.0,11,13
2,Joystick,-5.875,11,15
2,Joystick,-5.75,13,16
2,Joystick,-5.625,14,15
2,Joystick,-5.5,13,13
2,Joystick,-5.375,13,11
2,Joystick,-5.25,14,9
2,Joystick,-5.125,12,8
2,Joystick,-5.0,12,13
2,Joystick,-4.875,13,13
2,Joystick,-4.75,14,13
2,Joystick,-4.625,12,14
2,Joystick,-4.5,13,12
2,Joystick,-4.375,14,15
2,Joystick,-4.25,15,15
2,Joystick,-4.125,12,15
2,Joystick,-4.0,8,12
2,Joystick,-3.875,8,13
2,Joystick,-3.75,8,13
2,Joystick,-3.625,8,8
2,Joystick,-3.5,9,5
2,Joystick,-3.375,9,6
2,Joystick,-3.25,8,9
2,Joystick,-3.125,7,12
2,Joystick,-3.0,5,12
2,Joystick,-2.875,8,10
2,Joystick,-2.75,9,9
2,Joystick,-2.625,9,8
2,Joystick,-2.5,11,10
2,Joystick,-2.375,25,26
2,Joystick,-2.25,23,25
2,Joystick,-2.125,21,24
2,Joystick,-2.0,23,22
2,Joystick,-1.875,23,22
2,Joystick,-1.75,24,22
2,Joystick,-1.625,23,23
2,Joystick,-1.5,18,23
2,Joystick,-1.375,20,20
2,Joystick,-1.25,16,18
2,Joystick,-1.125,17,18
2,Joystick,-1.0,19,19
2,Joystick,-0.875,19,19
2,Joystick,-0.75,18,17
2,Joystick,-0.625,17,17
2,Joystick,-0.5,15,17
2,Joystick,-0.375,14,17
2,Joystick,-0.25,13,18
2,Joystick,-0.125,15,18
2,Joystick,0.0,20,20
