Participant,Condition,Time,LDA_Errors,SVM_Errors
14,Omnideck,-6.0,14,6
14,Omnideck,-5.875,12,6
14,Omnideck,-5.75,9,7
14,Omnideck,-5.625,9,8
14,Omnideck,-5.5,12,11
14,Omnideck,-5.375,12,12
14,Omnideck,-5.25,12,13
14,Omnideck,-5.125,11,12
14,Omnideck,-5.0,12,13
14,Omnideck,-4.875,12,10
14,Omnideck,-4.75,12,11
14,Omnideck,-4.625,12,10
14,Omnideck,-4.5,10,12
14,Omnideck,-4.375,10,12
14,Omnideck,-4.25,9,13
14,Omnideck,-4.125,9,12
14,Omnideck,-4.0,10,9
14,Omnideck,-3.875,10,7
14,Omnideck,-3.75,9,7
14,Omnideck,-3.625,10,5
14,Omnideck,-3.5,11,9
14,Omnideck,-3.375,11,9
14,Omnideck,-3.25,11,10
14,Omnideck,-3.125,11,12
14,Omnideck,-3.0,12,13
14,Omnideck,-2.875,11,13
14,Omnideck,-2.75,15,13
14,Omnideck,-2.625,16,12
14,Omnideck,-2.5,15,13
14,Omnideck,-2.375,24,24
14,Omnideck,-2.25,23,22
14,Omnideck,-2.125,24,23
14,Omnideck,-2.0,27,22
14,Omnideck,-1.875,26,20
14,Omnideck,-1.75,26,19
14,Omnideck,-1.625,24,21
14,Omnideck,-1.5,19,18
14,Omnideck,-1.375,19,16
14,Omnideck,-1.25,18,16
14,Omnideck,-1.125,18,17
14,Omnideck,-1.0,14,18
14,Omnideck,-0.875,15,17
14,Omnideck,-0.75,14,17
14,Omnideck,-0.625,14,17
14,Omnideck,-0.5,16,13
14,Omnideck,-0.375,14,13
14,Omnideck,-0.25,13,14
14,Omnideck,-0.125,13,14
14,Omnideck,0.0,21,13
