Participant,Condition,Time,LDA_Errors,SVM_Errors
13,Joystick,-6.0,7,8
13,Joystick,-5.875,8,9
13,Joystick,-5.75,10,10
13,Joystick,-5.625,10,8
13,Joystick,-5.5,11,9
13,Joystick,-5.375,11,10
13,Joystick,-5.25,10,10
13,Joystick,-5.125,9,9
13,Joystick,-5.0,11,10
13,Joystick,-4.875,13,9
13,Joystick,-4.75,11,8
13,Joystick,-4.625,12,9
13,Joystick,-4.5,11,8
13,Joystick,-4.375,12,9
13,Joystick,-4.25,13,9
13,Joystick,-4.125,14,9
13,Joystick,-4.0,14,10
13,Joystick,-3.875,13,10
13,Joystick,-3.75,12,11
13,Joystick,-3.625,11,9
13,Joystick,-3.5,11,8
13,Joystick,-3.375,11,6
13,Joystick,-3.25,10,7
13,Joystick,-3.125,8,7
13,Joystick,-3.0,8,6
13,Joystick,-2.875,9,6
13,Joystick,-2.75,7,5
13,Joystick,-2.625,6,4
13,Joystick,-2.5,4,8
13,Joystick,-2.375,31,28
13,Joystick,-2.25,30,31
13,Joystick,-2.125,30,32
13,Joystick,-2.0,31,25
13,Joystick,-1.875,30,25
13,Joystick,-1.75,31,24
13,Joystick,-1.625,27,28
13,Joystick,-1.5,22,24
13,Joystick,-1.375,18,21
13,Joystick,-1.25,14,17
13,Joystick,-1.125,12,16
13,Joystick,-1.0,8,12
13,Joystick,-0.875,8,10
13,Joystick,-0.75,8,8
13,Joystick,-0.625,7,8
13,Joystick,-0.5,9,10
13,Joystick,-0.375,8,8
13,Joystick,-0.25,9,8
13,Joystick,-0.125,12,7
13,Joystick,0.0,27,8
