Participant,Condition,Time,LDA_Errors,SVM_Errors
11,Omnideck,-6.0,12,7
11,Omnideck,-5.875,12,8
11,Omnideck,-5.75,10,8
11,Omnideck,-5.625,9,7
11,Omnideck,-5.5,10,7
11,Omnideck,-5.375,11,7
11,Omnideck,-5.25,9,7
11,Omnideck,-5.125,9,7
11,Omnideck,-5.0,12,9
11,Omnideck,-4.875,11,12
11,Omnideck,-4.75,10,10
11,Omnideck,-4.625,10,11
11,Omnideck,-4.5,7,8
11,Omnideck,-4.375,5,9
11,Omnideck,-4.25,5,7
11,Omnideck,-4.125,7,9
11,Omnideck,-4.0,9,10
11,Omnideck,-3.875,9,9
11,Omnideck,-3.75,8,9
11,Omnideck,-3.625,9,10
11,Omnideck,-3.5,8,7
11,Omnideck,-3.375,7,5
11,Omnideck,-3.25,8,6
11,Omnideck,-3.125,8,8
11,Omnideck,-3.0,10,7
11,Omnideck,-2.875,12,9
11,Omnideck,-2.75,17,10
11,Omnideck,-2.625,17,13
11,Omnideck,-2.5,19,14
11,Omnideck,-2.375,18,23
11,Omnideck,-2.25,18,20
11,Omnideck,-2.125,17,17
11,Omnideck,-2.0,15,18
11,Omnideck,-1.875,15,18
11,Omnideck,-1.75,14,16
11,Omnideck,-1.625,11,13
11,Omnideck,-1.5,11,11
11,Omnideck,-1.375,11,10
11,Omnideck,-1.25,12,11
11,Omnideck,-1.125,11,12
11,Omnideck,-1.0,11,10
11,Omnideck,-0.875,11,12
11,Omnideck,-0.75,10,11
11,Omnideck,-0.625,10,9
11,Omnideck,-0.5,14,11
11,Omnideck,-0.375,14,13
11,Omnideck,-0.25,14,14
11,Omnideck,-0.125,18,14
11,Omnideck,0.0,18,16
