Participant,Condition,Time,LDA_Errors,SVM_Errors
3,Joystick,-6.0,9,6
3,Joystick,-5.875,10,8
3,Joystick,-5.75,9,7
3,Joystick,-5.625,8,7
3,Joystick,-5.5,7,6
3,Joystick,-5.375,9,7
3,Joystick,-5.25,9,7
3,Joystick,-5.125,10,7
3,Joystick,-5.0,10,7
3,Joystick,-4.875,11,6
3,Joystick,-4.75,9,5
3,Joystick,-4.625,8,8
3,Joystick,-4.5,10,8
3,Joystick,-4.375,9,8
3,Joystick,-4.25,8,8
3,Joystick,-4.125,8,7
3,Joystick,-4.0,8,6
3,Joystick,-3.875,8,7
3,Joystick,-3.75,7,9
3,Joystick,-3.625,6,8
3,Joystick,-3.5,8,7
3,Joystick,-3.375,8,7
3,Joystick,-3.25,6,7
3,Joystick,-3.125,6,9
3,Joystick,-3.0,10,8
3,Joystick,-2.875,12,9
3,Joystick,-2.75,12,9
3,Joystick,-2.625,12,9
3,Joystick,-2.5,11,9
3,Joystick,-2.375,28,29
3,Joystick,-2.25,26,29
3,Joystick,-2.125,25,25
3,Joystick,-2.0,22,22
3,Joystick,-1.875,18,20
3,Joystick,-1.75,16,17
3,Joystick,-1.625,13,13
3,Joystick,-1.5,11,7
3,Joystick,-1.375,10,9
3,Joystick,-1.25,11,10
3,Joystick,-1.125,11,6
3,Joystick,-1.0,11,7
3,Joystick,-0.875,11,7
3,Joystick,-0.75,12,6
3,Joystick,-0.625,10,7
3,Joystick,-0.5,9,6
3,Joystick,-0.375,11,6
3,Joystick,-0.25,11,6
3,Joystick,-0.125,16,9
3,Joystick,0.0,17,11
