Participant,Condition,Time,LDA_Errors,SVM_Errors
6,Leaning,-6.0,4,7
6,Leaning,-5.875,6,5
6,Leaning,-5.75,6,9
6,Leaning,-5.625,9,8
6,Leaning,-5.5,10,9
6,Leaning,-5.375,9,9
6,Leaning,-5.25,8,9
6,Leaning,-5.125,8,10
6,Leaning,-5.0,9,10
6,Leaning,-4.875,8,9
6,Leaning,-4.75,8,9
6,Leaning,-4.625,6,10
6,Leaning,-4.5,7,7
6,Leaning,-4.375,6,9
6,Leaning,-4.25,4,10
6,Leaning,-4.125,4,11
6,Leaning,-4.0,4,11
6,Leaning,-3.875,4,9
6,Leaning,-3.75,4,8
6,Leaning,-3.625,5,8
6,Leaning,-3.5,6,6
6,Leaning,-3.375,9,8
6,Leaning,-3.25,7,10
6,Leaning,-3.125,8,13
6,Leaning,-3.0,12,15
6,Leaning,-2.875,13,15
6,Leaning,-2.75,14,13
6,Leaning,-2.625,14,14
6,Leaning,-2.5,13,16
6,Leaning,-2.375,25,20
6,Leaning,-2.25,23,22
6,Leaning,-2.125,20,22
6,Leaning,-2.0,16,24
6,Leaning,-1.875,14,22
6,Leaning,-1.75,14,17
6,Leaning,-1.625,14,17
6,Leaning,-1.5,15,19
6,Leaning,-1.375,15,18
6,Leaning,-1.25,13,19
6,Leaning,-1.125,14,18
6,Leaning,-1.0,13,19
6,Leaning,-0.875,13,20
6,Leaning,-0.75,15,19
6,Leaning,-0.625,18,18
6,Leaning,-0.5,19,20
6,Leaning,-0.375,20,18
6,Leaning,-0.25,19,18
6,Leaning,-0.125,22,18
6,Leaning,0.0,25,17
