Participant,Condition,Time,LDA_Errors,SVM_Errors
1,Leaning,-6.0,10,8
1,Leaning,-5.875,12,10
1,Leaning,-5.75,11,11
1,Leaning,-5.625,11,11
1,Leaning,-5.5,12,12
1,Leaning,-5.375,12,12
1,Leaning,-5.25,14,13
1,Leaning,-5.125,14,12
1,Leaning,-5.0,12,12
1,Leaning,-4.875,14,11
1,Leaning,-4.75,15,13
1,Leaning,-4.625,15,13
1,Leaning,-4.5,15,12
1,Leaning,-4.375,15,13
1,Leaning,-4.25,17,10
1,Leaning,-4.125,17,12
1,Leaning,-4.0,15,17
1,Leaning,-3.875,16,17
1,Leaning,-3.75,14,17
1,Leaning,-3.625,15,18
1,Leaning,-3.5,14,17
1,Leaning,-3.375,16,14
1,Leaning,-3.25,14,15
1,Leaning,-3.125,12,14
1,Leaning,-3.0,10,10
1,Leaning,-2.875,9,8
1,Leaning,-2.75,7,10
1,Leaning,-2.625,8,10
1,Leaning,-2.5,8,9
1,Leaning,-2.375,30,29
1,Leaning,-2.25,28,31
1,Leaning,-2.125,29,31
1,Leaning,-2.0,27,30
1,Leaning,-1.875,27,28
1,Leaning,-1.75,26,26
1,Leaning,-1.625,22,25
1,Leaning,-1.5,17,22
1,Leaning,-1.375,12,18
1,Leaning,-1.25,13,15
1,Leaning,-1.125,14,12
1,Leaning,-1.0,15,10
1,Leaning,-0.875,16,10
1,Leaning,-0.75,16,10
1,Leaning,-0.625,18,11
1,Leaning,-0.5,21,11
1,Leaning,-0.375,22,10
1,Leaning,-0.25,23,11
1,Leaning,-0.125,22,10
1,Leaning,0.0,25,12
