Participant,Condition,Time,LDA_Errors,SVM_Errors
6,Omnideck,-6.0,13,9
6,Omnideck,-5.875,13,9
6,Omnideck,-5.75,14,11
6,Omnideck,-5.625,13,10
6,Omnideck,-5.5,13,12
6,Omnideck,-5.375,12,14
6,Omnideck,-5.25,11,15
6,Omnideck,-5.125,12,13
6,Omnideck,-5.0,10,10
6,Omnideck,-4.875,8,9
6,Omnideck,-4.75,6,9
6,Omnideck,-4.625,6,8
6,Omnideck,-4.5,4,8
6,Omnideck,-4.375,5,10
6,Omnideck,-4.25,5,8
6,Omnideck,-4.125,6,8
6,Omnideck,-4.0,9,9
6,Omnideck,-3.875,9,7
6,Omnideck,-3.75,7,8
6,Omnideck,-3.625,7,8
6,Omnideck,-3.5,8,7
6,Omnideck,-3.375,12,9
6,Omnideck,-3.25,13,11
6,Omnideck,-3.125,13,11
6,Omnideck,-3.0,13,12
6,Omnideck,-2.875,14,13
6,Omnideck,-2.75,12,13
6,Omnideck,-2.625,12,13
6,Omnideck,-2.5,14,14
6,Omnideck,-2.375,24,25
6,Omnideck,-2.25,23,24
6,Omnideck,-2.125,21,25
6,Omnideck,-2.0,21,23
6,Omnideck,-1.875,20,21
6,Omnideck,-1.75,18,19
6,Omnideck,-1.625,17,16
6,Omnideck,-1.5,12,15
6,Omnideck,-1.375,13,12
6,Omnideck,-1.25,13,12
6,Omnideck,-1.125,12,11
6,Omnideck,-1.0,9,13
6,Omnideck,-0.875,9,14
6,Omnideck,-0.75,8,14
6,Omnideck,-0.625,8,12
6,Omnideck,-0.5,10,14
6,Omnideck,-0.375,11,15
6,Omnideck,-0.25,11,15
6,Omnideck,-0.125,10,15
6,Omnideck,0.0,15,12
