Participant,Condition,Time,LDA_Errors,SVM_Errors
9,Omnideck,-6.0,11,7
9,Omnideck,-5.875,10,7
9,Omnideck,-5.75,10,6
9,Omnideck,-5.625,10,7
9,Omnideck,-5.5,9,6
9,Omnideck,-5.375,9,7
9,Omnideck,-5.25,8,7
9,Omnideck,-5.125,8,7
9,Omnideck,-5.0,6,7
9,Omnideck,-4.875,6,7
9,Omnideck,-4.75,6,9
9,Omnideck,-4.625,6,8
9,Omnideck,-4.5,5,10
9,Omnideck,-4.375,6,9
9,Omnideck,-4.25,4,8
9,Omnideck,-4.125,6,8
9,Omnideck,-4.0,8,9
9,Omnideck,-3.875,8,8
9,Omnideck,-3.75,8,9
9,Omnideck,-3.625,9,8
9,Omnideck,-3.5,8,10
9,Omnideck,-3.375,8,8
9,Omnideck,-3.25,7,7
9,Omnideck,-3.125,8,7
9,Omnideck,-3.0,7,9
9,Omnideck,-2.875,8,10
9,Omnideck,-2.75,11,13
9,Omnideck,-2.625,12,14
9,Omnideck,-2.5,19,12
9,Omnideck,-2.375,20,27
9,Omnideck,-2.25,23,26
9,Omnideck,-2.125,23,27
9,Omnideck,-2.0,18,22
9,Omnideck,-1.875,17,24
9,Omnideck,-1.75,15,22
9,Omnideck,-1.625,14,16
9,Omnideck,-1.5,16,13
9,Omnideck,-1.375,16,10
9,Omnideck,-1.25,16,12
9,Omnideck,-1.125,15,13
9,Omnideck,-1.0,15,14
9,Omnideck,-0.875,14,12
9,Omnideck,-0.75,16,12
9,Omnideck,-0.625,17,12
9,Omnideck,-0.5,17,15
9,Omnideck,-0.375,20,15
9,Omnideck,-0.25,19,15
9,Omnideck,-0.125,19,15
9,Omnideck,0.0,20,16
