Participant,Joystick,Leaning,Omnideck,Walking
1,['F3'],[],['CP2'],[]
2,[],[],[],[]
3,[],[],,"['Fz', 'F4']"
4,,,,
5,['Cz'],[],['FC1'],"['F3', 'Cz']"
6,"['FCz', 'FC2']",[],[],"['CP1', 'CP2']"
7,,,,
8,"['FC1', 'FCz', 'C3', 'C4']",['F3'],['F3'],[]
9,['Cz'],['CP1'],['Cz'],"['Fz', 'CP1']"
10,[],[],['Fz'],['F4']
11,['F3'],[],['C3'],['Fz']
12,[],[],[],[]
13,,,,
14,['FCz'],[],[],[]
