Participant,Joystick,Leaning,Omnideck,Walking
1,['C3'],['F3'],[],[]
2,[],['Fz'],['C4'],[]
3,['Fz'],"['FCz', 'FC2', 'CP1']",,[]
4,,,,
5,[],[],[],[]
6,['F3'],[],"['FC1', 'CP1', 'CP2']",['Fz']
7,,,,
8,"['F4', 'FC1', 'C3', 'Cz']","['Cz', 'CP1']",['C4'],['CP2']
9,['CP1'],"['FC1', 'Cz', 'CP1']",['CP2'],['F3']
10,['FC2'],"['FC2', 'Cz', 'CP1']","['C3', 'CP1']",[]
11,['FCz'],['FC2'],['C3'],[]
12,[],['FCz'],['CP1'],['F3']
13,,,,
14,"['FC1', 'FCz']",[],"['CP1', 'CP2']","['F3', 'Fz']"
