Participant,Condition,Time,LDA_Errors,SVM_Errors
13,Leaning,-5.0,12,9
13,Leaning,-4.875,13,14
13,Leaning,-4.75,15,15
13,Leaning,-4.625,14,15
13,Leaning,-4.5,13,15
13,Leaning,-4.375,12,16
13,Leaning,-4.25,12,12
13,Leaning,-4.125,14,13
13,Leaning,-4.0,15,12
13,Leaning,-3.875,14,11
13,Leaning,-3.75,15,12
13,Leaning,-3.625,12,10
13,Leaning,-3.5,9,9
13,Leaning,-3.375,9,7
13,Leaning,-3.25,6,6
13,Leaning,-3.125,5,6
13,Leaning,-3.0,5,5
13,Leaning,-2.875,6,5
13,Leaning,-2.75,4,6
13,Leaning,-2.625,3,6
13,Leaning,-2.5,4,6
13,Leaning,-2.375,3,5
13,Leaning,-2.25,3,6
13,Leaning,-2.125,3,6
13,Leaning,-2.0,6,8
13,Leaning,-1.875,5,9
13,Leaning,-1.75,8,7
13,Leaning,-1.625,13,9
13,Leaning,-1.5,14,13
13,Leaning,-1.375,22,23
13,Leaning,-1.25,20,22
13,Leaning,-1.125,20,20
13,Leaning,-1.0,15,13
13,Leaning,-0.875,15,13
13,Leaning,-0.75,14,9
13,Leaning,-0.625,14,8
13,Leaning,-0.5,17,11
13,Leaning,-0.375,18,12
13,Leaning,-0.25,16,12
13,Leaning,-0.125,18,14
13,Leaning,0.0,16,11
13,Leaning,0.125,15,13
13,Leaning,0.25,15,13
13,Leaning,0.375,17,14
13,Leaning,0.5,18,21
13,Leaning,0.625,23,22
13,Leaning,0.75,24,22
13,Leaning,0.875,24,22
13,Leaning,1.0,24,25
