Participant,Condition,Time,LDA_Errors,SVM_Errors
11,Joystick,-5.0,14,9
11,Joystick,-4.875,14,11
11,Joystick,-4.75,13,12
11,Joystick,-4.625,13,13
11,Joystick,-4.5,14,12
11,Joystick,-4.375,13,12
11,Joystick,-4.25,14,11
11,Joystick,-4.125,13,10
11,Joystick,-4.0,12,11
11,Joystick,-3.875,11,9
11,Joystick,-3.75,11,8
11,Joystick,-3.625,11,8
11,Joystick,-3.5,13,9
11,Joystick,-3.375,10,8
11,Joystick,-3.25,10,10
11,Joystick,-3.125,10,10
11,Joystick,-3.0,13,10
11,Joystick,-2.875,13,11
11,Joystick,-2.75,13,12
11,Joystick,-2.625,13,11
11,Joystick,-2.5,11,11
11,Joystick,-2.375,10,12
11,Joystick,-2.25,7,13
11,Joystick,-2.125,5,13
11,Joystick,-2.0,5,10
11,Joystick,-1.875,5,10
11,Joystick,-1.75,4,10
11,Joystick,-1.625,5,9
11,Joystick,-1.5,9,12
11,Joystick,-1.375,26,23
11,Joystick,-1.25,22,21
11,Joystick,-1.125,21,19
11,Joystick,-1.0,15,17
11,Joystick,-0.875,16,16
11,Joystick,-0.75,16,16
11,Joystick,-0.625,15,16
11,Joystick,-0.5,15,12
11,Joystick,-0.375,16,9
11,Joystick,-0.25,15,9
11,Joystick,-0.125,13,9
11,Joystick,0.0,17,11
11,Joystick,0.125,16,12
11,Joystick,0.25,15,12
11,Joystick,0.375,18,14
11,Joystick,0.5,20,12
11,Joystick,0.625,21,14
11,Joystick,0.75,25,13
11,Joystick,0.875,25,14
11,Joystick,1.0,28,13
