Participant,Condition,Time,LDA_Errors,SVM_Errors
6,Leaning,-5.0,14,12
6,Leaning,-4.875,15,13
6,Leaning,-4.75,15,12
6,Leaning,-4.625,15,11
6,Leaning,-4.5,15,14
6,Leaning,-4.375,13,14
6,Leaning,-4.25,12,14
6,Leaning,-4.125,13,15
6,Leaning,-4.0,11,14
6,Leaning,-3.875,12,13
6,Leaning,-3.75,12,15
6,Leaning,-3.625,11,13
6,Leaning,-3.5,9,11
6,Leaning,-3.375,6,9
6,Leaning,-3.25,6,7
6,Leaning,-3.125,7,7
6,Leaning,-3.0,7,5
6,Leaning,-2.875,7,4
6,Leaning,-2.75,8,6
6,Leaning,-2.625,5,6
6,Leaning,-2.5,5,7
6,Leaning,-2.375,4,7
6,Leaning,-2.25,4,7
6,Leaning,-2.125,7,8
6,Leaning,-2.0,9,8
6,Leaning,-1.875,12,11
6,Leaning,-1.75,14,12
6,Leaning,-1.625,14,11
6,Leaning,-1.5,14,14
6,Leaning,-1.375,20,19
6,Leaning,-1.25,18,19
6,Leaning,-1.125,18,17
6,Leaning,-1.0,12,12
6,Leaning,-0.875,12,15
6,Leaning,-0.75,11,14
6,Leaning,-0.625,11,14
6,Leaning,-0.5,10,14
6,Leaning,-0.375,10,14
6,Leaning,-0.25,9,13
6,Leaning,-0.125,11,13
6,Leaning,0.0,13,13
6,Leaning,0.125,14,16
6,Leaning,0.25,14,17
6,Leaning,0.375,14,19
6,Leaning,0.5,14,18
6,Leaning,0.625,14,18
6,Leaning,0.75,12,18
6,Leaning,0.875,14,19
6,Leaning,1.0,15,20
