Participant,Condition,Time,LDA_Errors,SVM_Errors
14,Omnideck,-5.0,5,5
14,Omnideck,-4.875,7,6
14,Omnideck,-4.75,9,7
14,Omnideck,-4.625,9,7
14,Omnideck,-4.5,6,8
14,Omnideck,-4.375,8,7
14,Omnideck,-4.25,8,8
14,Omnideck,-4.125,8,12
14,Omnideck,-4.0,10,11
14,Omnideck,-3.875,10,10
14,Omnideck,-3.75,12,11
14,Omnideck,-3.625,12,11
14,Omnideck,-3.5,12,8
14,Omnideck,-3.375,12,8
14,Omnideck,-3.25,10,8
14,Omnideck,-3.125,9,7
14,Omnideck,-3.0,7,5
14,Omnideck,-2.875,6,5
14,Omnideck,-2.75,5,6
14,Omnideck,-2.625,5,7
14,Omnideck,-2.5,9,6
14,Omnideck,-2.375,8,6
14,Omnideck,-2.25,8,5
14,Omnideck,-2.125,10,5
14,Omnideck,-2.0,7,7
14,Omnideck,-1.875,7,8
14,Omnideck,-1.75,8,9
14,Omnideck,-1.625,10,11
14,Omnideck,-1.5,15,20
14,Omnideck,-1.375,20,17
14,Omnideck,-1.25,19,15
14,Omnideck,-1.125,19,14
14,Omnideck,-1.0,13,13
14,Omnideck,-0.875,12,14
14,Omnideck,-0.75,12,12
14,Omnideck,-0.625,14,12
14,Omnideck,-0.5,12,13
14,Omnideck,-0.375,14,11
14,Omnideck,-0.25,13,13
14,Omnideck,-0.125,13,12
14,Omnideck,0.0,15,13
14,Omnideck,0.125,14,11
14,Omnideck,0.25,12,12
14,Omnideck,0.375,13,12
14,Omnideck,0.5,17,16
14,Omnideck,0.625,17,18
14,Omnideck,0.75,15,18
14,Omnideck,0.875,17,18
14,Omnideck,1.0,21,16
