Participant,Condition,Time,LDA_Errors,SVM_Errors
8,Joystick,-5.0,12,8
8,Joystick,-4.875,14,11
8,Joystick,-4.75,13,10
8,Joystick,-4.625,13,10
8,Joystick,-4.5,14,11
8,Joystick,-4.375,15,10
8,Joystick,-4.25,14,8
8,Joystick,-4.125,13,8
8,Joystick,-4.0,13,9
8,Joystick,-3.875,11,8
8,Joystick,-3.75,11,8
8,Joystick,-3.625,11,7
8,Joystick,-3.5,8,8
8,Joystick,-3.375,8,6
8,Joystick,-3.25,4,5
8,Joystick,-3.125,3,5
8,Joystick,-3.0,5,4
8,Joystick,-2.875,6,4
8,Joystick,-2.75,6,4
8,Joystick,-2.625,7,4
8,Joystick,-2.5,4,6
8,Joystick,-2.375,3,5
8,Joystick,-2.25,4,5
8,Joystick,-2.125,5,6
8,Joystick,-2.0,6,6
8,Joystick,-1.875,7,8
8,Joystick,-1.75,8,7
8,Joystick,-1.625,10,7
8,Joystick,-1.5,16,13
8,Joystick,-1.375,19,25
8,Joystick,-1.25,17,23
8,Joystick,-1.125,16,17
8,Joystick,-1.0,14,11
8,Joystick,-0.875,13,11
8,Joystick,-0.75,14,9
8,Joystick,-0.625,15,8
8,Joystick,-0.5,13,8
8,Joystick,-0.375,12,9
8,Joystick,-0.25,12,9
8,Joystick,-0.125,10,9
8,Joystick,0.0,11,9
8,Joystick,0.125,11,10
8,Joystick,0.25,11,11
8,Joystick,0.375,11,11
8,Joystick,0.5,11,8
8,Joystick,0.625,11,7
8,Joystick,0.75,11,6
8,Joystick,0.875,11,7
8,Joystick,1.0,15,10
