Participant,Condition,Time,LDA_Errors,SVM_Errors
5,Joystick,-5.0,14,16
5,Joystick,-4.875,14,14
5,Joystick,-4.75,14,13
5,Joystick,-4.625,14,14
5,Joystick,-4.5,10,13
5,Joystick,-4.375,11,12
5,Joystick,-4.25,10,9
5,Joystick,-4.125,11,10
5,Joystick,-4.0,10,10
5,Joystick,-3.875,10,11
5,Joystick,-3.75,10,9
5,Joystick,-3.625,9,9
5,Joystick,-3.5,9,9
5,Joystick,-3.375,8,8
5,Joystick,-3.25,8,5
5,Joystick,-3.125,6,4
5,Joystick,-3.0,5,7
5,Joystick,-2.875,6,9
5,Joystick,-2.75,6,9
5,Joystick,-2.625,6,10
5,Joystick,-2.5,6,7
5,Joystick,-2.375,7,7
5,Joystick,-2.25,6,6
5,Joystick,-2.125,6,8
5,Joystick,-2.0,7,6
5,Joystick,-1.875,7,8
5,Joystick,-1.75,9,7
5,Joystick,-1.625,8,8
5,Joystick,-1.5,11,12
5,Joystick,-1.375,23,20
5,Joystick,-1.25,21,16
5,Joystick,-1.125,18,17
5,Joystick,-1.0,13,14
5,Joystick,-0.875,15,13
5,Joystick,-0.75,14,11
5,Joystick,-0.625,15,13
5,Joystick,-0.5,14,12
5,Joystick,-0.375,13,10
5,Joystick,-0.25,13,12
5,Joystick,-0.125,12,13
5,Joystick,0.0,15,14
5,Joystick,0.125,14,17
5,Joystick,0.25,18,16
5,Joystick,0.375,19,16
5,Joystick,0.5,22,20
5,Joystick,0.625,23,21
5,Joystick,0.75,24,21
5,Joystick,0.875,23,22
5,Joystick,1.0,19,21
