Participant,Condition,Time,LDA_Errors,SVM_Errors
2,Omnideck,-5.0,12,11
2,Omnideck,-4.875,14,12
2,Omnideck,-4.75,13,12
2,Omnideck,-4.625,13,13
2,Omnideck,-4.5,14,13
2,Omnideck,-4.375,14,14
2,Omnideck,-4.25,14,13
2,Omnideck,-4.125,12,13
2,Omnideck,-4.0,12,11
2,Omnideck,-3.875,12,12
2,Omnideck,-3.75,11,10
2,Omnideck,-3.625,12,10
2,Omnideck,-3.5,9,15
2,Omnideck,-3.375,8,17
2,Omnideck,-3.25,9,15
2,Omnideck,-3.125,11,14
2,Omnideck,-3.0,9,10
2,Omnideck,-2.875,10,9
2,Omnideck,-2.75,10,11
2,Omnideck,-2.625,10,13
2,Omnideck,-2.5,9,13
2,Omnideck,-2.375,13,13
2,Omnideck,-2.25,11,12
2,Omnideck,-2.125,10,12
2,Omnideck,-2.0,10,10
2,Omnideck,-1.875,11,11
2,Omnideck,-1.75,12,10
2,Omnideck,-1.625,12,10
2,Omnideck,-1.5,12,10
2,Omnideck,-1.375,24,26
2,Omnideck,-1.25,26,26
2,Omnideck,-1.125,24,25
2,Omnideck,-1.0,20,21
2,Omnideck,-0.875,17,22
2,Omnideck,-0.75,17,21
2,Omnideck,-0.625,17,20
2,Omnideck,-0.5,19,19
2,Omnideck,-0.375,17,18
2,Omnideck,-0.25,18,20
2,Omnideck,-0.125,19,20
2,Omnideck,0.0,21,21
2,Omnideck,0.125,22,18
2,Omnideck,0.25,21,17
2,Omnideck,0.375,20,21
2,Omnideck,0.5,20,25
2,Omnideck,0.625,21,22
2,Omnideck,0.75,24,23
2,Omnideck,0.875,26,21
2,Omnideck,1.0,26,15
