Participant,Condition,Time,LDA_Errors,SVM_Errors
9,Omnideck,-5.0,8,11
9,Omnideck,-4.875,8,11
9,Omnideck,-4.75,7,10
9,Omnideck,-4.625,6,6
9,Omnideck,-4.5,7,6
9,Omnideck,-4.375,7,7
9,Omnideck,-4.25,8,7
9,Omnideck,-4.125,8,9
9,Omnideck,-4.0,9,7
9,Omnideck,-3.875,10,6
9,Omnideck,-3.75,10,6
9,Omnideck,-3.625,8,6
9,Omnideck,-3.5,8,6
9,Omnideck,-3.375,9,7
9,Omnideck,-3.25,10,5
9,Omnideck,-3.125,7,4
9,Omnideck,-3.0,8,3
9,Omnideck,-2.875,8,7
9,Omnideck,-2.75,10,6
9,Omnideck,-2.625,11,9
9,Omnideck,-2.5,11,8
9,Omnideck,-2.375,11,9
9,Omnideck,-2.25,10,10
9,Omnideck,-2.125,10,13
9,Omnideck,-2.0,10,12
9,Omnideck,-1.875,9,13
9,Omnideck,-1.75,9,11
9,Omnideck,-1.625,9,11
9,Omnideck,-1.5,15,13
9,Omnideck,-1.375,23,24
9,Omnideck,-1.25,24,25
9,Omnideck,-1.125,22,23
9,Omnideck,-1.0,22,18
9,Omnideck,-0.875,22,16
9,Omnideck,-0.75,20,16
9,Omnideck,-0.625,18,17
9,Omnideck,-0.5,16,14
9,Omnideck,-0.375,16,14
9,Omnideck,-0.25,13,12
9,Omnideck,-0.125,12,11
9,Omnideck,0.0,10,12
9,Omnideck,0.125,9,10
9,Omnideck,0.25,11,10
9,Omnideck,0.375,11,11
9,Omnideck,0.5,9,12
9,Omnideck,0.625,10,13
9,Omnideck,0.75,11,12
9,Omnideck,0.875,12,13
9,Omnideck,1.0,13,14
