Participant,Condition,Time,LDA_Errors,SVM_Errors
12,Omnideck,-5.0,11,8
12,Omnideck,-4.875,13,6
12,Omnideck,-4.75,12,6
12,Omnideck,-4.625,11,7
12,Omnideck,-4.5,9,6
12,Omnideck,-4.375,9,8
12,Omnideck,-4.25,10,8
12,Omnideck,-4.125,10,9
12,Omnideck,-4.0,9,8
12,Omnideck,-3.875,11,11
12,Omnideck,-3.75,11,12
12,Omnideck,-3.625,10,11
12,Omnideck,-3.5,9,13
12,Omnideck,-3.375,10,13
12,Omnideck,-3.25,13,14
12,Omnideck,-3.125,13,15
12,Omnideck,-3.0,13,17
12,Omnideck,-2.875,13,18
12,Omnideck,-2.75,14,16
12,Omnideck,-2.625,15,16
12,Omnideck,-2.5,16,16
12,Omnideck,-2.375,17,15
12,Omnideck,-2.25,16,14
12,Omnideck,-2.125,15,13
12,Omnideck,-2.0,20,11
12,Omnideck,-1.875,20,11
12,Omnideck,-1.75,20,10
12,Omnideck,-1.625,20,11
12,Omnideck,-1.5,17,14
12,Omnideck,-1.375,21,27
12,Omnideck,-1.25,21,27
12,Omnideck,-1.125,21,28
12,Omnideck,-1.0,20,24
12,Omnideck,-0.875,20,24
12,Omnideck,-0.75,21,24
12,Omnideck,-0.625,22,23
12,Omnideck,-0.5,23,21
12,Omnideck,-0.375,22,22
12,Omnideck,-0.25,23,22
12,Omnideck,-0.125,23,21
12,Omnideck,0.0,24,21
12,Omnideck,0.125,25,22
12,Omnideck,0.25,23,21
12,Omnideck,0.375,23,21
12,Omnideck,0.5,20,22
12,Omnideck,0.625,20,22
12,Omnideck,0.75,22,22
12,Omnideck,0.875,23,21
12,Omnideck,1.0,22,17
