Participant,Condition,Time,LDA_Errors,SVM_Errors
10,Omnideck,-5.0,10,7
10,Omnideck,-4.875,13,12
10,Omnideck,-4.75,14,15
10,Omnideck,-4.625,12,15
10,Omnideck,-4.5,15,14
10,Omnideck,-4.375,14,12
10,Omnideck,-4.25,13,13
10,Omnideck,-4.125,14,13
10,Omnideck,-4.0,15,13
10,Omnideck,-3.875,14,12
10,Omnideck,-3.75,14,10
10,Omnideck,-3.625,14,10
10,Omnideck,-3.5,12,11
10,Omnideck,-3.375,14,11
10,Omnideck,-3.25,13,11
10,Omnideck,-3.125,12,11
10,Omnideck,-3.0,13,10
10,Omnideck,-2.875,14,11
10,Omnideck,-2.75,13,11
10,Omnideck,-2.625,12,11
10,Omnideck,-2.5,10,7
10,Omnideck,-2.375,8,8
10,Omnideck,-2.25,9,7
10,Omnideck,-2.125,9,7
10,Omnideck,-2.0,8,9
10,Omnideck,-1.875,7,10
10,Omnideck,-1.75,7,11
10,Omnideck,-1.625,8,9
10,Omnideck,-1.5,12,10
10,Omnideck,-1.375,27,27
10,Omnideck,-1.25,25,25
10,Omnideck,-1.125,24,22
10,Omnideck,-1.0,22,21
10,Omnideck,-0.875,18,18
10,Omnideck,-0.75,17,18
10,Omnideck,-0.625,15,18
10,Omnideck,-0.5,17,18
10,Omnideck,-0.375,16,16
10,Omnideck,-0.25,15,14
10,Omnideck,-0.125,15,13
10,Omnideck,0.0,21,20
10,Omnideck,0.125,22,18
10,Omnideck,0.25,24,18
10,Omnideck,0.375,26,18
10,Omnideck,0.5,26,17
10,Omnideck,0.625,29,16
10,Omnideck,0.75,30,18
10,Omnideck,0.875,31,18
10,Omnideck,1.0,29,19
