Participant,Condition,Time,LDA_Errors,SVM_Errors
6,Joystick,-5.0,8,10
6,Joystick,-4.875,7,12
6,Joystick,-4.75,9,14
6,Joystick,-4.625,10,14
6,Joystick,-4.5,11,11
6,Joystick,-4.375,9,9
6,Joystick,-4.25,9,8
6,Joystick,-4.125,9,8
6,Joystick,-4.0,6,6
6,Joystick,-3.875,6,5
6,Joystick,-3.75,4,5
6,Joystick,-3.625,3,5
6,Joystick,-3.5,3,6
6,Joystick,-3.375,3,5
6,Joystick,-3.25,3,3
6,Joystick,-3.125,4,2
6,Joystick,-3.0,2,2
6,Joystick,-2.875,2,3
6,Joystick,-2.75,4,3
6,Joystick,-2.625,4,4
6,Joystick,-2.5,5,6
6,Joystick,-2.375,6,6
6,Joystick,-2.25,5,6
6,Joystick,-2.125,6,6
6,Joystick,-2.0,7,15
6,Joystick,-1.875,10,15
6,Joystick,-1.75,15,15
6,Joystick,-1.625,17,18
6,Joystick,-1.5,21,25
6,Joystick,-1.375,12,10
6,Joystick,-1.25,11,10
6,Joystick,-1.125,6,10
6,Joystick,-1.0,3,6
6,Joystick,-0.875,3,5
6,Joystick,-0.75,2,4
6,Joystick,-0.625,2,3
6,Joystick,-0.5,3,2
6,Joystick,-0.375,3,2
6,Joystick,-0.25,4,2
6,Joystick,-0.125,4,2
6,Joystick,0.0,4,3
6,Joystick,0.125,4,5
6,Joystick,0.25,6,8
6,Joystick,0.375,7,10
6,Joystick,0.5,9,16
6,Joystick,0.625,8,20
6,Joystick,0.75,9,20
6,Joystick,0.875,13,21
6,Joystick,1.0,17,22
