Participant,Condition,Time,LDA_Errors,SVM_Errors
7,Omnideck,-5.0,7,6
7,Omnideck,-4.875,7,7
7,Omnideck,-4.75,11,7
7,Omnideck,-4.625,11,7
7,Omnideck,-4.5,12,8
7,Omnideck,-4.375,11,9
7,Omnideck,-4.25,11,10
7,Omnideck,-4.125,11,9
7,Omnideck,-4.0,11,8
7,Omnideck,-3.875,11,8
7,Omnideck,-3.75,12,7
7,Omnideck,-3.625,9,7
7,Omnideck,-3.5,6,4
7,Omnideck,-3.375,7,4
7,Omnideck,-3.25,6,6
7,Omnideck,-3.125,6,6
7,Omnideck,-3.0,5,5
7,Omnideck,-2.875,6,5
7,Omnideck,-2.75,2,6
7,Omnideck,-2.625,3,6
7,Omnideck,-2.5,5,4
7,Omnideck,-2.375,5,3
7,Omnideck,-2.25,5,3
7,Omnideck,-2.125,6,3
7,Omnideck,-2.0,7,4
7,Omnideck,-1.875,8,5
7,Omnideck,-1.75,9,5
7,Omnideck,-1.625,10,6
7,Omnideck,-1.5,12,9
7,Omnideck,-1.375,24,26
7,Omnideck,-1.25,23,24
7,Omnideck,-1.125,21,20
7,Omnideck,-1.0,16,14
7,Omnideck,-0.875,10,12
7,Omnideck,-0.75,10,12
7,Omnideck,-0.625,9,8
7,Omnideck,-0.5,6,7
7,Omnideck,-0.375,6,7
7,Omnideck,-0.25,5,5
7,Omnideck,-0.125,3,6
7,Omnideck,0.0,3,5
7,Omnideck,0.125,3,5
7,Omnideck,0.25,3,5
7,Omnideck,0.375,4,5
7,Omnideck,0.5,4,4
7,Omnideck,0.625,7,4
7,Omnideck,0.75,8,4
7,Omnideck,0.875,9,3
7,Omnideck,1.0,10,6
