Participant,Condition,Time,LDA_Errors,SVM_Errors
6,Omnideck,-5.0,5,10
6,Omnideck,-4.875,8,11
6,Omnideck,-4.75,10,10
6,Omnideck,-4.625,11,12
6,Omnideck,-4.5,12,12
6,Omnideck,-4.375,12,11
6,Omnideck,-4.25,14,13
6,Omnideck,-4.125,15,14
6,Omnideck,-4.0,12,13
6,Omnideck,-3.875,13,12
6,Omnideck,-3.75,12,10
6,Omnideck,-3.625,11,10
6,Omnideck,-3.5,8,7
6,Omnideck,-3.375,8,9
6,Omnideck,-3.25,8,8
6,Omnideck,-3.125,5,7
6,Omnideck,-3.0,10,6
6,Omnideck,-2.875,8,6
6,Omnideck,-2.75,8,8
6,Omnideck,-2.625,7,8
6,Omnideck,-2.5,6,6
6,Omnideck,-2.375,6,6
6,Omnideck,-2.25,6,4
6,Omnideck,-2.125,8,6
6,Omnideck,-2.0,8,8
6,Omnideck,-1.875,8,8
6,Omnideck,-1.75,6,11
6,Omnideck,-1.625,9,11
6,Omnideck,-1.5,16,17
6,Omnideck,-1.375,20,19
6,Omnideck,-1.25,18,19
6,Omnideck,-1.125,17,17
6,Omnideck,-1.0,13,14
6,Omnideck,-0.875,12,14
6,Omnideck,-0.75,10,12
6,Omnideck,-0.625,10,11
6,Omnideck,-0.5,10,13
6,Omnideck,-0.375,9,14
6,Omnideck,-0.25,9,14
6,Omnideck,-0.125,10,13
6,Omnideck,0.0,10,14
6,Omnideck,0.125,12,14
6,Omnideck,0.25,13,13
6,Omnideck,0.375,14,12
6,Omnideck,0.5,18,13
6,Omnideck,0.625,20,14
6,Omnideck,0.75,20,16
6,Omnideck,0.875,23,15
6,Omnideck,1.0,25,20
