Participant,Condition,Time,LDA_Errors,SVM_Errors
9,Joystick,-5.0,7,9
9,Joystick,-4.875,8,9
9,Joystick,-4.75,9,8
9,Joystick,-4.625,6,6
9,Joystick,-4.5,8,6
9,Joystick,-4.375,9,6
9,Joystick,-4.25,11,7
9,Joystick,-4.125,12,7
9,Joystick,-4.0,12,8
9,Joystick,-3.875,14,10
9,Joystick,-3.75,17,11
9,Joystick,-3.625,17,9
9,Joystick,-3.5,18,14
9,Joystick,-3.375,17,13
9,Joystick,-3.25,14,12
9,Joystick,-3.125,12,13
9,Joystick,-3.0,11,14
9,Joystick,-2.875,12,13
9,Joystick,-2.75,9,12
9,Joystick,-2.625,9,9
9,Joystick,-2.5,7,5
9,Joystick,-2.375,8,6
9,Joystick,-2.25,7,4
9,Joystick,-2.125,7,4
9,Joystick,-2.0,8,7
9,Joystick,-1.875,9,7
9,Joystick,-1.75,9,6
9,Joystick,-1.625,10,5
9,Joystick,-1.5,13,8
9,Joystick,-1.375,24,32
9,Joystick,-1.25,24,30
9,Joystick,-1.125,24,28
9,Joystick,-1.0,22,23
9,Joystick,-0.875,19,22
9,Joystick,-0.75,19,21
9,Joystick,-0.625,20,22
9,Joystick,-0.5,19,18
9,Joystick,-0.375,18,14
9,Joystick,-0.25,18,13
9,Joystick,-0.125,18,13
9,Joystick,0.0,17,11
9,Joystick,0.125,17,12
9,Joystick,0.25,16,12
9,Joystick,0.375,16,12
9,Joystick,0.5,17,12
9,Joystick,0.625,18,9
9,Joystick,0.75,17,10
9,Joystick,0.875,16,10
9,Joystick,1.0,19,13
