Participant,Condition,Time,LDA_Errors,SVM_Errors
11,Leaning,-5.0,12,6
11,Leaning,-4.875,12,7
11,Leaning,-4.75,12,6
11,Leaning,-4.625,10,6
11,Leaning,-4.5,10,9
11,Leaning,-4.375,10,9
11,Leaning,-4.25,10,7
11,Leaning,-4.125,11,6
11,Leaning,-4.0,10,5
11,Leaning,-3.875,8,6
11,Leaning,-3.75,9,5
11,Leaning,-3.625,10,5
11,Leaning,-3.5,9,7
11,Leaning,-3.375,9,7
11,Leaning,-3.25,10,7
11,Leaning,-3.125,9,8
11,Leaning,-3.0,8,8
11,Leaning,-2.875,7,8
11,Leaning,-2.75,6,7
11,Leaning,-2.625,8,8
11,Leaning,-2.5,10,8
11,Leaning,-2.375,9,9
11,Leaning,-2.25,10,9
11,Leaning,-2.125,10,11
11,Leaning,-2.0,10,10
11,Leaning,-1.875,9,10
11,Leaning,-1.75,12,9
11,Leaning,-1.625,12,9
11,Leaning,-1.5,16,11
11,Leaning,-1.375,21,24
11,Leaning,-1.25,20,22
11,Leaning,-1.125,15,18
11,Leaning,-1.0,13,15
11,Leaning,-0.875,15,15
11,Leaning,-0.75,14,16
11,Leaning,-0.625,14,18
11,Leaning,-0.5,13,18
11,Leaning,-0.375,14,16
11,Leaning,-0.25,14,16
11,Leaning,-0.125,12,17
11,Leaning,0.0,11,16
11,Leaning,0.125,12,16
11,Leaning,0.25,12,14
11,Leaning,0.375,14,13
11,Leaning,0.5,18,13
11,Leaning,0.625,18,14
11,Leaning,0.75,20,11
11,Leaning,0.875,22,13
11,Leaning,1.0,22,13
