Participant,Condition,Time,LDA_Errors,SVM_Errors
2,Leaning,-5.0,8,14
2,Leaning,-4.875,11,16
2,Leaning,-4.75,11,15
2,Leaning,-4.625,13,15
2,Leaning,-4.5,14,12
2,Leaning,-4.375,14,11
2,Leaning,-4.25,13,12
2,Leaning,-4.125,11,12
2,Leaning,-4.0,14,13
2,Leaning,-3.875,15,13
2,Leaning,-3.75,15,12
2,Leaning,-3.625,13,13
2,Leaning,-3.5,16,16
2,Leaning,-3.375,17,16
2,Leaning,-3.25,18,16
2,Leaning,-3.125,17,15
2,Leaning,-3.0,16,11
2,Leaning,-2.875,14,11
2,Leaning,-2.75,14,11
2,Leaning,-2.625,11,11
2,Leaning,-2.5,13,11
2,Leaning,-2.375,12,9
2,Leaning,-2.25,11,8
2,Leaning,-2.125,11,8
2,Leaning,-2.0,9,9
2,Leaning,-1.875,7,12
2,Leaning,-1.75,5,13
2,Leaning,-1.625,6,12
2,Leaning,-1.5,10,15
2,Leaning,-1.375,26,21
2,Leaning,-1.25,26,20
2,Leaning,-1.125,25,21
2,Leaning,-1.0,23,19
2,Leaning,-0.875,22,20
2,Leaning,-0.75,22,20
2,Leaning,-0.625,23,18
2,Leaning,-0.5,21,24
2,Leaning,-0.375,22,22
2,Leaning,-0.25,22,21
2,Leaning,-0.125,24,20
2,Leaning,0.0,24,19
2,Leaning,0.125,25,18
2,Leaning,0.25,23,16
2,Leaning,0.375,22,19
2,Leaning,0.5,22,20
2,Leaning,0.625,23,20
2,Leaning,0.75,23,20
2,Leaning,0.875,23,20
2,Leaning,1.0,22,20
