Participant,Condition,Time,LDA_Errors,SVM_Errors
14,Joystick,-5.0,7,8
14,Joystick,-4.875,8,8
14,Joystick,-4.75,8,8
14,Joystick,-4.625,12,9
14,Joystick,-4.5,11,9
14,Joystick,-4.375,12,11
14,Joystick,-4.25,12,11
14,Joystick,-4.125,11,9
14,Joystick,-4.0,10,8
14,Joystick,-3.875,8,8
14,Joystick,-3.75,6,9
14,Joystick,-3.625,6,8
14,Joystick,-3.5,4,8
14,Joystick,-3.375,4,5
14,Joystick,-3.25,6,4
14,Joystick,-3.125,5,4
14,Joystick,-3.0,4,6
14,Joystick,-2.875,4,3
14,Joystick,-2.75,4,4
14,Joystick,-2.625,4,7
14,Joystick,-2.5,3,6
14,Joystick,-2.375,4,6
14,Joystick,-2.25,4,6
14,Joystick,-2.125,4,5
14,Joystick,-2.0,6,5
14,Joystick,-1.875,9,7
14,Joystick,-1.75,9,8
14,Joystick,-1.625,11,8
14,Joystick,-1.5,17,16
14,Joystick,-1.375,19,21
14,Joystick,-1.25,15,17
14,Joystick,-1.125,13,12
14,Joystick,-1.0,11,10
14,Joystick,-0.875,8,8
14,Joystick,-0.75,7,7
14,Joystick,-0.625,6,7
14,Joystick,-0.5,6,7
14,Joystick,-0.375,12,7
14,Joystick,-0.25,10,6
14,Joystick,-0.125,11,6
14,Joystick,0.0,11,7
14,Joystick,0.125,10,8
14,Joystick,0.25,10,9
14,Joystick,0.375,11,9
14,Joystick,0.5,11,10
14,Joystick,0.625,11,9
14,Joystick,0.75,12,10
14,Joystick,0.875,12,10
14,Joystick,1.0,15,8
