Participant,Condition,Time,LDA_Errors,SVM_Errors
9,Leaning,-5.0,11,10
9,Leaning,-4.875,10,10
9,Leaning,-4.75,10,9
9,Leaning,-4.625,11,10
9,Leaning,-4.5,12,12
9,Leaning,-4.375,11,10
9,Leaning,-4.25,10,9
9,Leaning,-4.125,10,9
9,Leaning,-4.0,11,8
9,Leaning,-3.875,11,6
9,Leaning,-3.75,10,6
9,Leaning,-3.625,9,5
9,Leaning,-3.5,8,5
9,Leaning,-3.375,9,5
9,Leaning,-3.25,8,5
9,Leaning,-3.125,8,6
9,Leaning,-3.0,11,8
9,Leaning,-2.875,10,9
9,Leaning,-2.75,13,11
9,Leaning,-2.625,16,13
9,Leaning,-2.5,12,10
9,Leaning,-2.375,9,10
9,Leaning,-2.25,8,11
9,Leaning,-2.125,7,9
9,Leaning,-2.0,5,6
9,Leaning,-1.875,4,6
9,Leaning,-1.75,2,9
9,Leaning,-1.625,7,8
9,Leaning,-1.5,13,11
9,Leaning,-1.375,23,26
9,Leaning,-1.25,21,24
9,Leaning,-1.125,20,19
9,Leaning,-1.0,18,16
9,Leaning,-0.875,17,16
9,Leaning,-0.75,15,17
9,Leaning,-0.625,16,17
9,Leaning,-0.5,15,14
9,Leaning,-0.375,13,15
9,Leaning,-0.25,13,15
9,Leaning,-0.125,14,13
9,Leaning,0.0,14,8
9,Leaning,0.125,14,9
9,Leaning,0.25,15,9
9,Leaning,0.375,17,10
9,Leaning,0.5,18,12
9,Leaning,0.625,20,13
9,Leaning,0.75,20,14
9,Leaning,0.875,20,15
9,Leaning,1.0,21,19
